Organisation_Match,Sector
ABRIDGE SYSTEMS LIMITED,Technology
ABS AUTOMATION SYSTEMS LIMITED,Technology
ABS CARE LTD,Healthcare
ABSA SECURITIES UNITED KINGDOM LIMITED,Finance
ABSOLUTE CARE AGENCY (EM) LIMITED,Healthcare
ABSOLUTE CARE HOMES (CENTRAL) LIMITED,Healthcare
ABSOLUTE CARE SERVICES LTD,Healthcare
ABSOLUTE CARE SOUTH WEST LTD,Healthcare
ABSOLUTE HEALTHCARE WEST LIMITED,Healthcare
ABSOLUTE RISK TECHNOLOGY LIMITED,Engineering
ABSOLUTEFIBRE LTD,Technology
ABSOLUTELY NO NONSENSE ADMIN LTD,Technology
ABSORB SOFTWARE UK LTD,Technology
ABSTRACT TECH LIMITED,Technology
ABTRACE LIMITED,Technology
ABUNDANT GRAZE LTD,Education
ABZENA (CAMBRIDGE) LIMITED,Engineering
ACA COMPLIANCE (EUROPE) LIMITED,Finance
ACA SYSTEMS SUPPORT LIMITED,Technology
ACACIA CARE AND EDUCATION LIMITED,Education
ACACIA COMMUNITY CARE LIMITED,Education
ACACIA CREATIVE STUDIO LTD,Education
ACACIA LODGE CARE HOME LIMITED,Healthcare
ACADEMIA LIMITED,Technology
ACADEMIA ONE LIMITED,Education
ACADEMIA PARK LTD,Technology
ACADEMIC ACHIEVER LIMITED,Education
ACADEMIC RESEARCH HOUSE UK LIMITED,Education
ACADEMICALLY LTD,Finance
ACADEMICIANS LTD,Education
ACADEMY CARE LTD,Healthcare
ACADEMY HOUSE LIMITED,Healthcare
ACADEMY OF LIVE TECHNOLOGY LTD,Education
ACADEMY OF SINOLOGY UK,Education
ACADEMY TRANSFORMATION TRUST,Education
ACADIAN ASSET MANAGEMENT (UK) LIMITED,Finance
ACASTA EUROPE LIMITED,Finance
ACCEDE SUPPORT LIMITED,Healthcare
ACCEL SOFTWARE SERVICES LIMITED,Technology
ACCELALPHA EUROPE LTD,Technology
ACCELERATE HEALTH CIC,Healthcare
ACCELERATOR ADVISORY LIMITED,Finance
ACCELY LTD,Technology
ACCELYA GLOBAL LIMITED,Finance
ACCENCIS CONSULTING LTD,Technology
ACCENTOR IT SOLUTIONS LIMITED,Technology
ACCESS DIGNITY CARE LIMITED,Healthcare
ACCESS EQUITY MANAGEMENT LIMITED,Finance
ACCESS INFINITY LTD,Technology
ACCESS SUPPORT 24 LIMITED,Healthcare
ACCESSAFE UK LTD,Engineering
ACCESSESP UK LIMITED,Engineering
ACCESSION THERAPEUTICS LIMITED,Engineering
ACCIDENT & INJURY ASSOCIATES LIMITED,Finance
ACCINNOZ LIMITED,Technology
ACCION LABS (UK) LIMITED,Technology
ACCIVA TECHNO SOFT LIMITED,Technology
ACCOLADE SUPPORT AND CARE LTD,Healthcare
ACCORD IT LTD,Technology
ACCORD MULTI ACADEMY TRUST,Education
ACCORDIA SUPPORTED LIVING SERVICES LIMITED,Healthcare
ACCOTAX LONDON LTD,Technology
ACCOUNTAGILITY LIMITED,Technology
ACCOUNTING & BUSINESS SERV LTD,Technology
ACCOUNTING & TAX PLANNING UK LIMITED,Finance
ACCOUNTING CRUNCHERS LIMITED,Technology
ACCREDIBLE LTD,Technology
ACCTAX (ONLINE) LTD,Technology
ACCU-SET HEALTHCARE LTD,Healthcare
ACCURIA LTD,Technology
ACCURX LIMITED,Technology
ACE ANALYTICS LIMITED,Technology
ACE CARE 4 U LIMITED,Healthcare
ACE CHILDRENS OCCUPATIONAL THERAPY LIMITED,Healthcare
ACE COMMUNITY SERVICES LIMITED,Healthcare
ACE CONSULTANTS LTD,Technology
ACE ENGINEERING SOLUTIONS LTD,Engineering
ACE HEALTHCARE SOLUTIONS LIMITED,Healthcare
ACE INFOTECH SOLUTIONS LTD,Technology
ACE IT SOLUTIONS LTD,Technology
ACE LIFTS LTD,Engineering
ACE MONEY TRANSFER LIMITED,Finance
ACE TECHNOLOGIES LIMITED,Technology
ACE THINKER LIMITED,Technology
ACE UK ENGINEERING CONSULTANTS LTD,Engineering
ACEBRIDGE EDUCATION LTD,Technology
ACEPP UK LTD,Engineering
ACEPROSOFT SOLUTIONS LIMITED,Technology
ACER TRUST,Education
ACES ACADEMIES TRUST,Education
ACG OPERATIONS LTD,Healthcare
ACGAE LTD.,Technology
ACHERON CAPITAL LIMITED,Finance
ACHIEVE PHARMA UK LIMITED,Engineering
ACHIEVE TEACHERS LTD,Education
ACHIEVE TOGETHER LIMITED,Healthcare
ACHIEVERS CARE SOLUTIONS LIMITED,Healthcare
ACHIEVING ABOVE AVERAGE LTD,Healthcare
ACHILLES GROUP LIMITED,Finance
ACI WORLDWIDE (EMEA) LIMITED,Technology
ACINFO LIMITED,Technology
ACK MANUFACTURING LTD,Engineering
ACKROYD HOUSE LIMITED,Healthcare
ACKROYD LOWRIE LIMITED,Engineering
ACKWORTH SCHOOL,Education
ACME CREDIT CONSULTANTS LIMITED,Finance
ACME PROFESSIONALS LIMITED,Engineering
ACODIA LTD,Technology
ACORA LIMITED,Technology
ACORN (WATFORD) LTD,Healthcare
ACORN COMMUNITY CARE,Education
ACORN DAY OPPORTUNITIES LTD,Healthcare
ACORN DIAGNOSTICS LTD,Healthcare
ACORN FOSTERING SERVICES LIMITED,Healthcare
ACORN HEALTH CARE LIMITED,Healthcare
ACORN INSURANCE AND FINANCIAL SERVICES LIMITED,Finance
ACORN PSYCHOLOGY LTD,Education
ACORNS CHILDREN'S HOSPICE TRUST,Healthcare
ACOUSTIC PIXEL LIMITED,Technology
"ACP MANAGEMENT PARTNERS, LTD",Finance
ACQUAH LODGE LIMITED,Healthcare
ACQUIA LTD,Technology
ACQUIRE CARE LTD,Healthcare
ACQUIRED LIMITED,Finance
ACRE HOMECARE LTD,Healthcare
ACRE PLATFORMS LIMITED,Technology
ACRON ENGINEERING SERVICES (UK) LTD,Engineering
ACROSS THE BAY LTD,Healthcare
ACROTREND SOLUTIONS LIMITED,Technology
ACS (NORTH) LTD,Healthcare
ACS BUILDING PRODUCTS LIMITED,Engineering
ACS INTERNATIONAL SCHOOLS LIMITED,Education
ACS-TECH LIMITED,Engineering
ACT BUILD CHANGE LTD,Technology
ACT III LTD,Technology
ACTELLIGENT (U.K.) COMPANY LIMITED,Technology
ACTIMIZE UK LIMITED,Technology
ACTING OFFICE LIMITED,Technology
ACTION AGAINST HUNGER UK,Healthcare
ACTION FOR CHILDREN,Healthcare
ACTION ON DISABILITY,Healthcare
ACTIONSTEP OPERATIONS UK LIMITED,Technology
ACTIUM BIDCO (UK) LIMITED,Finance
ACTIVATE LEARNING EDUCATION TRUST,Education
ACTIVE CARE & SUPPORT LTD,Healthcare
ACTIVE CARE EDUCATION LTD,Technology
ACTIVE CARE ORGANISATION LIMITED,Healthcare
ACTIVE COMPANIONS LTD,Healthcare
ACTIVE INFORMATION SYSTEMS LIMITED,Technology
ACTIVE PARTNERS TRUST,Education
ACTIVE PATHWAYS LIMITED,Healthcare
ACTIVE PHARMACARE LTD,Healthcare
ACTIVE WEBDEZIGN LTD,Technology
ACTIVECORE LIMITED,Technology
ACTIVEFENCE LIMITED,Technology
ACTIVEIS LIMITED,Technology
ACTIVEOPS PLC,Technology
ACTIVEVIAM LTD,Technology
ACTIVPAYROLL LTD.,Technology
ACTON FINISHING LIMITED,Engineering
ACTUAL CARE SERVICES LTD,Healthcare
ACTUARIAL ADVISORY SERVICES LIMITED,Finance
ACUDEMY LIMITED,Education
ACUITY ENGINEERING LIMITED,Engineering
ACUMA SOLUTIONS LIMITED,Technology
ACUMATICA UK LIMITED,Technology
ACUMEN BAY CONSULTANCY LIMITED,Technology
ACUMEN GLOBAL ACADEMY LTD,Technology
ACUMEN SOFTWARE LTD,Technology
ACUTEC LIMITED,Technology
ACUTRO LTD,Technology
ACUURA LIMITED,Healthcare
ACUUTECH LIMITED,Technology
ACX INSTRUMENTS LTD,Engineering
ACXIOM LIMITED,Technology
AD DATA ANALYTICS LTD,Technology
AD PROPERTY TRAINING LTD,Education
AD SERVICE HOLBROOK LTD,Healthcare
AD SIGNAL LIMITED,Technology
AD UD DEEN LTD,Technology
ADA COUNSELLING LTD,Education
ADA INFORMATICS LIMITED,Technology
ADAGE DIGITAL LTD,Technology
ADAJOUR LIMITED,Healthcare
ADAM HAULAGE SERVICES LTD,Engineering
ADAMANT COMPOSITES UK LTD,Engineering
ADAMAS WIND LIMITED,Engineering
ADAMS CARE LTD,Healthcare
ADAMS CHIROPRACTIC LIMITED,Healthcare
ADAPTECH AI LTD,Technology
ADAPTIMMUNE LIMITED,Engineering
ADAPTIX LIMITED,Engineering
ADB CONTRACTS LTD,Engineering
ADC INFRASTRUCTURE LIMITED,Engineering
ADC THERAPEUTICS (UK) LIMITED,Engineering
ADDED CARE LTD,Healthcare
ADDED SCIENTIFIC LIMITED,Engineering
ADDESU LTD,Technology
ADDI CARE SERVICES LTD,Healthcare
ADDISON BRADLEY & CO. LIMITED,Finance
ADDITIV LTD,Technology
ADDRESS ENTERPRISE LIMITED,Healthcare
ADDRESS INTELLIGENCE TECHNOLOGIES LIMITED,Technology
ADDSECURE LIMITED,Technology
ADDSOFT SOLUTIONS LIMITED,Technology
ADEC SOLUTIONS LIMITED,Technology
ADEEB FACILITIES MANAGEMENT LIMITED,Engineering
ADEENA LTD,Technology
ADEFAKKY LIMITED,Technology
ADELANTE SOFTWARE LTD,Technology
ADEN ENGINEERING & CONSULTANCY LTD,Technology
ADEN HEALTH CARE LTD,Healthcare
ADEN HOMES LIMITED,Healthcare
ADENNCAST LIMITED,Technology
ADENOSH LIMITED,Healthcare
ADERANT LEGAL (UK) LIMITED,Technology
ADESHIE GATE KIDS LIMITED,Education
ADEX CARE LTD,Healthcare
ADEX INTERNATIONAL TECHNOLOGIES LTD,Technology
ADFIN FINANCIAL SERVICES LTD,Technology
ADFORM LONDON LIMITED,Technology
ADGAN ELECTRICS LTD,Engineering
ADHDME CARE LIMITED,Healthcare
ADI TECHNOLOGY LIMITED,Technology
ADIDO LIMITED,Technology
ADIGO LIMITED,Healthcare
ADINSTRUMENTS LIMITED,Technology
ADISON INFO LIMITED,Technology
ADM AUTOMATION LIMITED,Engineering
ADMACRO LTD,Finance
ADMAN'S HEALTH CARE LTD,Healthcare
ADMAXIM LIMITED,Technology
ADMIRAL MARKETS UK LTD,Finance
ADMIRE CONSULTANCY SERVICES LTD,Technology
ADMISSION NETWORK LTD,Education
ADMONGREL LTD,Technology
ADNAMI LTD,Technology
ADNOC INTERNATIONAL UK LIMITED,Finance
ADOBE GROUP LIMITED,Finance
ADP ARCHITECTURE LIMITED,Engineering
ADP CONSULTING & ENGINEERING LTD,Engineering
ADQURA LIMITED,Technology
ADROITX LIMITED,Technology
ADROSONIC UK LIMITED,Technology
ADSILICO LIMITED,Engineering
ADTHENA LTD,Technology
ADULT TRANSITION SERVICES LTD,Healthcare
ADVANCE AI LTD,Technology
ADVANCE AUTOMATED SYSTEMS LIMITED,Engineering
ADVANCE CABLING SOLUTIONS LTD,Technology
ADVANCE COLLEGE OF BUSINESS AND TECHNOLOGY LIMITED,Education
ADVANCE EDUCATION GROUP LTD,Education
ADVANCE HE,Education
ADVANCE MEDIA LTD,Technology
ADVANCE PHYSIOTHERAPY GROUP LTD,Healthcare
ADVANCE SOLUTIONS CORP LTD,Technology
ADVANCED 365 LIMITED,Finance
ADVANCED AUTOMOBILE SOLUTIONS LTD,Engineering
ADVANCED BEAUTY MEDICAL LTD,Healthcare
ADVANCED CARE (NI) LTD,Healthcare
ADVANCED COUPLINGS LIMITED,Engineering
ADVANCED DESIGN TECHNOLOGY LIMITED,Technology
ADVANCED ELECTRIC MACHINES LIMITED,Engineering
ADVANCED FLOURISH CARE LIMITED,Healthcare
ADVANCED MARKETS (UK) LIMITED,Finance
ADVANCED MEDCARE LTD,Healthcare
ADVANCED MUSCULOSKELETAL ULTRASOUND LTD,Healthcare
ADVANCED STUDY LTD,Technology
ADVANCED VISION TECHNOLOGY LIMITED,Engineering
ADVANCENET EUROPE LIMITED,Technology
ADVANEX EUROPE LIMITED,Engineering
ADVANIA UK LIMITED,Technology
ADVANTAGE BUSINESS SYSTEMS LIMITED,Technology
ADVANTAGE SCHOOLS,Education
ADVANTAGE SHIELD HAVEN LTD,Healthcare
ADVANTEX NETWORK SOLUTIONS LIMITED,Technology
ADVENT DATA SOLUTIONS LTD,Technology
ADVENT INTERNATIONAL LTD,Finance
ADVENTORIS LTD,Technology
ADVISED LTD,Technology
ADVISEINC LTD,Technology
ADYOULIKE LIMITED,Technology
ADZACTLI LTD,Technology
ADZUNA LIMITED,Technology
AE ENERGY CONSULTING LIMITED,Education
AEC SYSTEMS LTD,Technology
AECOM LIMITED,Engineering
AED ENERGY LTD,Engineering
AEDS CONSULTANTS LIMITED,Engineering
AEGIQ LTD,Technology
AEGIS ENERGY LTD,Engineering
AEGIS MANAGING AGENCY LIMITED,Finance
AEGIS TRUST,Education
AEO-UK LIMITED,Finance
AEON ENERGY LTD,Engineering
AERA TECHNOLOGY LIMITED,Technology
AERACURA LIMITED,Healthcare
AERIAL DAYS LIMITED,Education
AERIOS LIMITED,Technology
AERIUS MARINE UK LTD,Engineering
AERIVO GROUP UK LIMITED,Technology
AEROCLOUD SYSTEMS LIMITED,Technology
AEROELASTICITY & NONLINEAR ANALYSES SPECIALISTS LTD,Engineering
AEROSPACEHV LTD,Engineering
AEROTROPE LIMITED,Engineering
AESN LIMITED,Technology
AESTHETHICALLY LTD,Technology
AESTHETIC CARE BEAUTY CLINIC LTD,Healthcare
AESTHETIC DENTAL IMPLANTS TEAM LIMITED,Healthcare
AESTHETICS CLINIQUE LTD,Healthcare
AESTHEZIA LIMITED,Healthcare
AETEK LTD,Engineering
AETHER LIMITED,Engineering
AETHOS U.K. LIMITED,Finance
AF PAYMENTS LIMITED,Finance
AF PIPES LTD,Engineering
AFENI HEALTHCARE LIMITED,Healthcare
AFFECT MEDIA LIMITED,Technology
AFFERENT SOFTWARE LIMITED,Technology
AFFILIATED MANAGERS GROUP LIMITED,Finance
AFFINIA HEALTHCARE LIMITED,Healthcare
AFFINITI AI LIMITED,Technology
AFFINITY BUSINESS SERVICES LIMITED,Finance
AFFINITY CARE CONSORTIUM LTD,Healthcare
AFFINITY FIRE ENGINEERING (UK) LIMITED,Engineering
AFFINITY LABORATORIES LIMITED,Engineering
AFFINITY TRUST,Healthcare
AFFLE (UK) LTD.,Technology
AFFLUENT TECHNOLOGY LIMITED,Technology
AFFORDABLE HEALTHCARE LTD,Healthcare
AFH INDEPENDENT FINANCIAL SERVICES LIMITED,Finance
AFIN BANK LIMITED,Finance
AFINITI EUROPE TECHNOLOGIES LIMITED,Technology
AFK SOLUTIONS LIMITED,Technology
AFLAC NORTHERN IRELAND LTD,Technology
AFLEX LIMITED,Technology
AFM CONSULTING LIMITED,Technology
AFON GOCH CHILDREN'S HOMES LTD,Healthcare
AFON TECHNOLOGY LTD,Engineering
